FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
12005,15,9,11,11,14,13,16,12,13,17,14,16,13
12007,16,15,13,13,11,13,14,13,12,12,13,14,13
12009,18,18,17,16,15,17,17,18,19,19,19,18,11
12011,15,13,13,11,11,12,16,16,14,15,16,13,13
12013,8,7,8,0,14,0,8,12,13,17,13,9,12
12015,9,8,14,14,9,8,8,6,7,8,8,11,11
12017,18,18,19,16,15,14,19,15,17,17,17,18,16
12019,14,13,16,16,12,16,18,16,16,15,15,14,12
12021,14,13,12,10,12,12,10,12,11,13,12,11,11
12023,18,9,18,16,15,13,6,15,15,12,9,13,10
12027,0,16,14,15,14,15,15,14,12,15,15,13,11
12029,11,8,19,7,8,12,7,15,15,0,10,15,13
12031,16,15,16,14,14,14,19,19,17,18,18,17,17
12033,12,11,11,9,12,14,10,12,15,16,17,18,19
12035,14,16,12,11,12,11,11,12,12,15,16,9,13
12037,0,6,0,0,10,6,0,10,10,13,8,7,13
12039,7,6,6,6,8,5,6,8,7,9,11,6,11
12041,0,0,18,0,11,11,0,13,13,9,9,12,11
12043,0,15,14,14,12,13,15,15,15,14,15,14,12
12045,0,7,7,0,14,7,0,12,13,17,11,8,13
12047,11,7,0,10,8,10,0,13,0,8,7,8,12
12049,15,17,13,15,14,15,16,14,13,14,16,13,12
12051,13,0,14,13,11,13,15,15,15,14,14,15,9
12053,19,18,16,18,13,13,14,13,14,16,15,17,16
12055,13,17,12,16,15,10,15,12,13,14,17,13,11
12057,17,16,14,12,11,11,12,11,12,12,15,14,14
12059,12,9,15,0,0,8,10,11,11,14,12,14,12
12061,15,16,14,10,15,11,14,10,15,12,12,14,11
12063,10,8,9,7,9,7,8,10,10,13,12,10,11
12065,6,0,14,6,0,0,6,8,9,7,6,11,10
12067,7,7,19,6,7,11,0,14,13,6,0,13,12
12069,13,14,10,10,11,12,10,15,10,16,13,13,13
12071,16,14,11,10,11,12,13,17,17,16,16,14,14
12073,8,8,7,7,8,7,8,8,8,8,8,6,7
12075,18,13,19,11,13,12,15,15,15,12,16,15,14
12077,0,0,0,6,9,0,0,9,10,12,10,0,11
12079,7,6,15,7,0,8,5,11,10,7,6,10,12
12081,18,18,14,17,17,19,19,17,15,17,15,14,14
12083,16,15,14,14,14,12,19,18,18,17,18,17,17
