FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
13033,14,15,15,15,15,15,15,13,15,16,12,12,11
13035,14,13,12,14,14,13,14,14,14,15,15,12,15
13037,17,17,16,17,17,17,17,17,17,17,18,17,18
13039,13,11,11,11,16,12,12,12,13,15,12,13,15
13043,17,17,17,17,16,17,17,14,17,17,16,17,13
13045,11,11,12,12,12,13,12,11,14,12,13,12,12
13047,11,12,4,13,12,12,11,11,14,13,13,14,12
13049,17,17,11,11,17,12,12,12,13,17,12,12,12
13051,14,14,14,14,15,15,15,15,14,14,13,14,14
13053,17,17,16,16,16,17,17,17,16,14,16,14,17
13055,11,12,11,9,13,12,13,12,6,12,13,14,13
13057,13,14,14,13,12,11,12,14,13,15,14,15,15
13059,11,13,13,14,15,15,14,15,15,14,16,15,14
13061,17,17,17,17,17,17,17,17,17,17,17,18,18
13063,14,15,13,15,15,15,16,15,15,16,15,15,16
13065,17,15,17,17,17,17,16,17,17,15,14,18,12
13067,14,14,13,13,12,13,13,13,14,14,14,15,15
13069,17,16,16,16,13,17,16,12,12,16,16,15,15
13071,16,16,17,17,17,17,17,16,16,15,17,14,14
13073,13,15,13,15,14,14,14,14,14,14,15,15,15
13075,17,16,17,17,17,16,17,16,15,16,17,15,14
13077,12,14,13,15,15,14,15,14,14,15,16,15,16
13079,15,16,16,15,16,17,16,15,17,16,16,17,15
13081,17,17,16,17,17,17,17,17,17,16,17,16,11
13083,13,12,11,17,12,11,17,11,13,11,12,13,12
13085,11,12,13,11,13,12,13,12,4,15,14,14,13
13087,16,17,17,17,17,17,17,17,17,16,14,17,15
13089,15,15,15,16,15,14,15,15,15,14,15,15,15
13091,17,17,17,16,17,17,16,16,16,17,18,16,17
13093,17,17,17,17,16,17,16,17,16,17,17,16,16
13095,17,17,13,17,17,17,17,17,17,12,16,13,12
13097,13,14,15,15,12,14,12,13,13,13,14,16,15
13099,17,17,16,17,17,17,17,17,17,17,16,17,17
13101,17,15,17,14,17,16,17,15,17,17,18,17,13
13103,15,16,15,15,16,16,15,13,15,16,12,14,15
13105,13,14,14,15,13,15,14,16,14,13,12,14,11
13107,16,17,16,17,16,16,17,16,16,17,16,15,13
13109,15,17,17,17,16,17,16,14,17,17,18,18,15
13111,2,4,11,1,12,13,13,11,11,14,12,12,11
13113,14,14,12,14,14,14,14,15,14,14,16,15,17
13115,11,12,12,12,14,14,13,15,13,13,14,12,14
13117,14,12,15,14,13,13,15,14,15,15,16,16,16
13119,8,7,7,15,7,11,13,14,12,5,13,11,11
13121,13,14,14,13,13,13,14,14,14,14,14,14,14
13123,17,9,12,6,12,12,13,11,11,15,11,14,12
13125,17,17,17,17,17,17,17,17,17,17,18,17,13
13127,13,11,13,11,14,12,14,13,14,14,13,12,13
13129,12,10,12,12,12,13,13,13,13,14,13,15,14
13131,16,17,16,17,16,16,16,16,17,16,15,17,15
13133,15,15,16,15,17,16,17,16,16,17,17,16,14
13135,15,15,15,15,15,14,15,15,15,16,16,16,16
13137,10,11,11,14,11,13,13,13,13,11,13,14,15
